beta,target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
4.0,MQTT_Malformed_Data,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),1747,472,0.8072033898305084,0.9479107040641099,0.3347457627118644,0.968065648437465,0.2501927832584359,0.27876359473382945,0.27876359473382945,0.2152261018889525,0.052089295935890095,0.17515741270749857
4.0,MQTT_Malformed_Data,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),1747,472,0.7733050847457628,0.9387521465369204,0.3347457627118644,0.967201558276213,0.2318983168027229,0.3073840870062965,0.25014310246136234,0.22438465941614197,0.061247853463079566,0.15684029765311963
4.0,MQTT_DoS_Connect_Flood,vae_p90,VAE-only baseline (p90),3131,0,,1.0,,0.964289877032461,0.17757332411519133,0.9996806132226126,0.0,0.00031938677738741617,0.0,0.0
4.0,MQTT_DoS_Connect_Flood,vae_p95,VAE-only baseline (p95),3131,0,,1.0,,0.9617592472216867,0.12013720849841784,0.9990418396678378,0.0,0.0009581603321622484,0.0,0.0
4.0,MQTT_DoS_Connect_Flood,vae_p99,VAE-only baseline (p99),3131,0,,1.0,,0.9575744058959864,0.024250804371526578,0.9952091983391887,0.0,0.0047908016608112424,0.0,0.0
4.0,MQTT_DoS_Connect_Flood,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,3131,0,,1.0,,0.9685464456867219,0.25926024410349136,0.7377834557649313,0.2618971574576813,0.0,0.0,0.00031938677738741617
4.0,MQTT_DoS_Connect_Flood,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,3131,0,,1.0,,0.9677137362317151,0.2408328236764432,0.8093260938997126,0.19035451932290004,0.0,0.0,0.00031938677738741617
4.0,MQTT_DoS_Connect_Flood,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,3131,0,,1.0,,0.9657591665284422,0.195468928656899,0.8090067071223251,0.1900351325455126,0.00031938677738741617,0.0,0.0006387735547748323
4.0,MQTT_DoS_Connect_Flood,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,3131,0,,1.0,,0.966646792219378,0.21501316244316218,0.7374640689875439,0.2615777706802938,0.00031938677738741617,0.0,0.0006387735547748323
4.0,MQTT_DoS_Connect_Flood,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),3131,0,,1.0,,0.9677137362317151,0.2408328236764432,0.8093260938997126,0.19035451932290004,0.0,0.0,0.00031938677738741617
