percentile,ent_threshold,target,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,false_alert_rate_benign
97.5,0.7210066094994545,Recon_VulScan,973,522,0.6091954022988506,0.7903391572456321,0.20849841784774112
97.5,0.7210066094994545,MQTT_Malformed_Data,1747,472,0.5783898305084746,0.886090440755581,0.20653069907198127
97.5,0.7210066094994545,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.20958864041268913
97.5,0.7210066094994545,ARP_Spoofing,1744,316,0.509493670886076,0.9111238532110092,0.19073576727736857
98.0,0.7918123900890349,Recon_Ping_Sweep,169,31,0.6451612903225806,0.9349112426035503,0.20413752758794906
98.0,0.7918123900890349,Recon_VulScan,973,522,0.578544061302682,0.7738951695786228,0.2037386656739437
98.0,0.7918123900890349,MQTT_Malformed_Data,1747,472,0.5042372881355932,0.866056096164854,0.2017177653096498
98.0,0.7918123900890349,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.20456298029622144
98.0,0.7918123900890349,ARP_Spoofing,1744,316,0.4651898734177215,0.9030963302752294,0.18884782088440982
98.5,0.8674021944403645,Recon_Ping_Sweep,169,31,0.5483870967741935,0.9171597633136095,0.19913845826574839
98.5,0.8674021944403645,Recon_VulScan,973,522,0.5498084291187739,0.7584789311408017,0.19940436620841864
98.5,0.8674021944403645,MQTT_Malformed_Data,1747,472,0.4597457627118644,0.8540354894104178,0.1971973302842556
98.5,0.8674021944403645,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.20068072433323583
98.5,0.8674021944403645,ARP_Spoofing,1744,316,0.4208860759493671,0.8950688073394495,0.18802350626213205
99.0,0.950702887773515,Recon_Ping_Sweep,169,31,0.45161290322580644,0.8994082840236687,0.19493711277155848
99.0,0.950702887773515,Recon_VulScan,973,522,0.5134099616858238,0.7389516957862282,0.19538915627409792
99.0,0.950702887773515,MQTT_Malformed_Data,1747,472,0.413135593220339,0.8414424728105323,0.1936607546467413
99.0,0.950702887773515,MQTT_DoS_Connect_Flood,3131,0,,1.0,0.19618688010210866
99.0,0.950702887773515,ARP_Spoofing,1744,316,0.3829113924050633,0.8881880733944955,0.18741191799399048
